ports=1024 levels=10 load=61.812146ms prepare=96.453952ms prepare_steps=84757
gates=0000000000000000 feedback=0 activate=192.168824ms steps=220696 max_error=0.000e0
gates=0000000000000001 feedback=0 activate=196.148276ms steps=220728 max_error=1.369e-13
gates=0000000000000003 feedback=0 activate=187.77093ms steps=220760 max_error=2.398e-13
gates=0123456789abcdef feedback=0 activate=192.338034ms steps=221720 max_error=6.271e-13
gates=ffffffffffffffff feedback=1 activate=193.24512ms steps=223768 max_error=2.855e-13
gates=5555555555555555 feedback=1 activate=193.917053ms steps=222232 max_error=9.593e-13
gates=0000000000000000 feedback=0 activate=199.782917ms steps=220696 max_error=0.000e0
gates=8000000000000000 feedback=0 activate=192.381842ms steps=220728 max_error=7.891e-14
gates=0000000000000001 feedback=0 activate=200.328244ms steps=220728 max_error=1.369e-13
resident: preparations=1 activations=9 median_activation=193.24512ms
same_gates_control: cold_parse_prepare_activate=327.550038ms resident_activate=192.44408ms ratio=1.70x samples=5
